一;one;ichi, itsu;hito-tsu
修;discipline;shū;osa-meru
俵;straw bag;hyō;tawara
個;individual;ko
備;provide;bi;sona-eru
像;statue;zō
再;again;sai or sa;futata-bi
刊;publish;kan
判;judge;han;waka-ru
制;control;sei
券;ticket;ken
則;rule;soku;notto-ru
効;effect;kō;ki-ku
務;duty;mu;tsuto-meru
勢;energy;sei;ikio-i
厚;rich;kō;atsu-i
句;phrase;ku
可;possible;ka
営;manage;ei;itona-mu
因;cause;in;yo-ru
団;association;dan or ton
圧;pressure;atsu
在;exist;zai;a-ru
均;level;kin
基;foundation;ki;moto-duku
報;report;hō;muku-iru
境;boundary;kyō;sakai
墓;grave;bo;haka
増;increase;zō;ma-su or fu-eru
夢;dream;mu;yume
妻;wife;sai;tsuma
婦;lady;fu
容;contain;yō
寄;approach;ki;yo-ru
富;abundant;fu;tomi
導;guide;dō;michibi-ku
居;reside;kyo;i-ru
属;belong;zoku
布;linen;fu;nuno
師;expert;shi
常;normal;jō;tsune
幹;tree-trunk;kan;miki
序;preface;jo
弁;valve;ben
張;stretch;chō;ha-ru
往;journey;ō
復;repeating;fuku
徳;virtue;toku
志;intention;shi;kokorozashi
応;respond;ō
快;cheerful;kai;kokoroyo-i
性;gender;sei or shō;saga
恩;grace;on
情;feelings;jō;nasa-ke
態;condition;tai
慣;accustomed;kan;na-reru
承;acquiesce;shō;uketamawa-ru
技;skill;gi;waza
招;beckon;shō;mane-ku
授;instruct;ju;sazu-keru
採;pick;sai;to-ru
接;contact;setsu;tsu-gu
提;propose;tei;sa-geru
損;loss;son;soko-neru
支;support;shi;sasa-eru
政;politics;sei;matsurigoto
故;circumstances;ko;yue
敵;enemy;teki;kataki
断;cut off;dan;ta-tsu or kotowa-ru
旧;old times;kyū
易;easy;eki;yasa-shii
暴;outburst;bō;aba-ku
条;clause;jō
枝;branch;shi;eda
査;investigate;sa
格;status;kaku
桜;cherry;ō;sakura
検;examine;ken
構;construct;kō;kama-eru
武;military;bu or mu
比;compare;hi;kura-beru
永;eternity;ei;naga-i
河;stream;ka;kawa
液;fluid;eki
混;mix;kon;ma-zaru
減;decrease;gen;he-ru
測;fathom;soku;haka-ru
準;standard;jun
演;perform;en
潔;undefiled;ketsu;isagiyo-i
災;disaster;sai;wazawa-i
燃;burn;nen;mo-eru
版;printing block;han
犯;crime;han;oka-su
状;form;jō
独;alone;doku;hito-ri
率;rate;ritsu or sotsu;hiki-iru
現;appear;gen;arawa-reru
留;detain;ryū or ru;todo-maru
略;abbreviation;ryaku
益;benefit;eki
眼;eyeball;gan;me
破;rend;ha;yabu-ru
確;certain;kaku;tashi-ka
示;indicate;shi;shime-su
祖;ancestor;so
禁;prohibition;kin
移;shift;i;utsu-ru
程;extent;tei;hodo
税;tax;zei
築;fabricate;chiku;kizu-ku
精;refined;sei
素;elementary;su or so;moto
経;manage;kei or kyō;he-ru
統;relationship;tō;su-beru
絶;discontinue;zetsu;ta-tsu
綿;cotton;men;wata
総;whole;sō
編;compile;hen;a-mu
績;exploits;seki
織;weave;shiki;o-ru
罪;guilt;zai;tsumi
群;flock;gun;mu-reru
義;righteousness;gi
耕;till;kō;tagaya-su
職;employment;shoku
肥;fertilizer;hi;ko-yasu
能;ability;nō
興;entertain;kyō;oko-su
舌;tongue;zetsu;shita
舎;cottage;sha
術;art;jutsu;sube
衛;defense;ei
製;manufacture;sei
複;duplicate;fuku
規;rule;ki
解;untie;ge or kai;to-ku
設;establish;setsu;mouke-ru
許;permit;kyo;yuru-su
証;evidence;shō;akashi
評;evaluate;hyō
講;lecture;kō
謝;apologize;sha;ayama-ru
識;discriminating;shiki
護;safeguard;go;mamo-ru
豊;bountiful;hō;yuta-ka
財;wealth;zai
貧;poor;hin;mazushi-i
責;blame;seki;se-meru
貸;lend;tai;ka-su
貿;trade;bō
賀;congratulations;ga
資;resources;shi
賛;approve;san
質;quality;shitsu
輸;transport;yu
述;mention;jutsu;no-beru
迷;astray;mei;mayo-u
退;retreat;tai;shirizo-ku
逆;inverted;gyaku;sakara-u
造;create;zō;tsuku-ru
過;overdo;ka;ayama-chi
適;suitable;teki
酸;acid;san
鉱;mineral;kō
銅;copper;dō
銭;coin;sen;zeni
防;resist;bō;fuse-gu
限;limit;gen;kagi-ru
険;precipitous;ken;kewa-shii
際;occasion;sai;kiwa
雑;miscellaneous;zatsu
非;negative;hi;ara-zu
預;deposit;yo;azu-keru
領;territory;ryō
額;amount;gaku;hitai
飼;domesticate;shi;ka-u
並;row;hei;nami or nara-bu
乱;chaos;ran;mida-reru
乳;milk;nyū;chichi
亡;deceased;bō;na-kunaru
仁;kindness;jin
供;offer;kyō or ku;tomo
俳;actor;hai
値;value;chi;atai
傷;wound;shō;kizu
優;superior;yū;yasa-shii
党;political party;tō
冊;counter for books;satsu
処;dispose;sho
刻;engrave;koku;kiza-mu
割;divide;katsu;wa-ru
創;create;sō;tsuku-ru
劇;drama;geki
勤;diligence;kin;tsuto-meru
危;dangerous;ki;aya-ui
卵;egg;ran;tamago
厳;strict;gen;kibi-shii
収;obtain;shū;osa-meru
后;queen;gō;kisaki
否;negate;hi;ina or iya
吸;suck;kyū;su-u
呼;call;ko;yo-bu
善;virtue;zen;yo-i
困;quandary;kon;koma-ru
垂;droop;sui;ta-reru
城;castle;jō;shiro
域;range;iki
奏;play music;sō;kana-deru
奮;stirred up;fun;furu-u
姿;shape;shi;sugata
存;suppose;son
孝;filial piety;kō
宅;home;taku;ie
宇;eaves;u
宗;religion;shū;sō
宙;mid-air;chū
宝;treasure;hō;takara
宣;proclaim;sen;notama-u
密;secrecy;mitsu
寸;measurement;sun
専;specialty;sen;moppa-ra
射;shoot;sha;i-ru
将;leader;shō
尊;revered;son;touto-bu
就;concerning;shū;tsu-ku
尺;measure of length;shaku
届;deliver;kai;todo-ku
展;expand;ten
層;stratum;sō
己;self;ko;onore
巻;scroll;kan;ma-ku
幕;curtain;maku or baku
干;dry;kan;ho-su
幼;infancy;yō;osana-i
庁;government office;chō
座;sit;za;suwa-ru
延;prolong;en;no-basu
律;rhythm;ritsu
従;obey;jū;shitaga-u
忘;forget;bō;wasu-reru
忠;loyalty;chū
憲;constitution;ken
我;ego;ga;ware
批;criticism;hi
担;shouldering;tan;nina-u
拝;worship;hai;oga-mu
拡;broaden;kaku;hiro-geru
捨;discard;sha;su-teru
探;grope;tan;saga-su
推;infer;sui
揮;brandish;ki
操;maneuver;sō;ayatsu-ru
敬;respect;kei;uyama-u
映;reflect;ei;utsu-ru
晩;nightfall;ban
暖;warmth;dan;atata-kai
暮;livelihood;bo;ku-rasu
朗;melodious;rō;hoga-raka
机;desk;ki;tsukue
枚;sheet of...;mai
染;dye;sen;so-meru
株;stocks;chu, shu;kabu
棒;rod;bō
模;imitation;mo or bo
権;rights;ken
樹;trees;ju;ki
欲;longing;yoku;ho-shii
段;steps;dan
沿;run alongside;en;so-u
泉;fountain;sen;izumi
洗;wash;sen;ara-u
派;sect;ha
済;settle;sai;su-mu
源;source;gen;minamoto
潮;tide;chō;shio
激;violent;geki;hage-shii
灰;ashes;kai;hai
熟;ripen;juku;u-reru
片;one-sided;hen;kata
班;corps;han
異;uncommon;i;koto-naru
疑;doubt;gi;utaga-u
痛;pain;tsū;ita-i
皇;emperor;kō;ō
盛;prosper;sei;mo-ru
盟;alliance;mei
看;watch over;kan
砂;sand;sa or sha;suna
磁;magnet;ji
私;me;shi;watakushi or watashi
秘;secret;hi;hi-meru
穀;cereal;koku
穴;hole;ketsu;ana
窓;window;sō;mado
筋;muscle;kin;suji
策;scheme;saku
簡;simplicity;kan
糖;sugar;tō
系;lineage;kei
紅;crimson;kō;beni or kurenai
納;settlement;nō;osa-meru
純;genuine;jun
絹;silk;ken;kinu
縦;vertical;jū;tate
縮;shrink;shuku;chidi-mu
署;government office;sho
翌;forthcoming;yoku
聖;holy;sei
肺;lung;hai
背;back;hai;se
胸;bosom;kyō;mune
脳;brain;nō
腹;abdomen;fuku;hara
臓;entrails;zō
臨;lookover;rin;nozo-mu
至;climax;shi;ita-ru
若;young;jaku;waka-i
著;renowned;cho;arawa-su or ichijiru-shii
蒸;foment;jō;mu-su
蔵;storehouse;zō;kura
蚕;silkworm;san;kaiko
衆;masses;shū
裁;judge;sai;saba-ku
装;attire;sō or shō;yosoo-u
裏;rear;ri;ura
補;supplement;ho;ogina-u
